station,sea_level,population,population_density,household,household_density,green_space,green_space_area,factory_num,factory_area
3T,23,64468,9046.87,58039,0.81,10.77,0.1,112,123059
10T,20,179899,1452.45,105461,0.09,3.95,0.01,493,4770457
11T,26,101330,3437.36,44465,0.15,13.76,0.05,77,144736
12T,3,118634,10275.79,78240,0.68,2.3,0.02,272,297638
15T,16,192234,4324.14,97036,0.22,5.27,0.02,569,1148799
5T,10,40077,4788.74,32138,0.38,22.97,0.11,188,54185
61T,4,85345,4542.29,74932,0.4,5.08,0.02,302,631723
