Station,Model,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_MSE,Test_R2
station_11T,RandomForest,42.17715938421884,21.228821714728745,0.6870487316203775,20.62008572811193,12.018483578970457,425.1879354346854,0.9685407666353697
station_11T,XGBoost,41.28040407285802,21.496865025143876,0.7504421714266843,38.234210248946326,17.63540022298623,1461.854833360632,0.8918388116989049
station_11T,DecisionTree,59.55248314473304,28.28487099459544,-0.024558808816931933,44.42312034622528,24.563690672275285,1973.4136212952146,0.853989084676644
station_12T,RandomForest,54.041786309110705,28.19653978984626,0.7927654564021894,28.447186287992974,15.373679833950025,809.2424077037755,0.9579026414976162
station_12T,XGBoost,60.24909852372251,30.647138413359194,0.7381515062459586,41.72683067499747,18.633828683345275,1741.12839817991,0.9094252776682319
station_12T,DecisionTree,72.88793316063072,35.40989397979264,0.45181098850864476,63.14264245702689,25.47217154778382,3986.993296455935,0.792593808048496
station_15T,RandomForest,42.1926518418699,21.492382428989195,0.6844945991980844,40.644042930606965,18.89535829597764,1651.9382257450218,0.8727457478232552
station_15T,XGBoost,40.99122412148909,21.430599323038336,0.7569040435264516,43.48014968821398,21.132756909432494,1890.5234169094942,0.8543667433248346
station_15T,DecisionTree,57.384170960785546,26.220433216061576,0.09703341001151795,77.49646104592519,27.674209378780606,6005.7014746426,0.5373609993147648
station_3T,RandomForest,54.31870245818234,28.182511329156917,0.7888926259722184,32.01327201354095,17.117886757151783,1024.8495850129643,0.9475529393727566
station_3T,XGBoost,60.04143202899761,30.079869680872815,0.735204344721829,44.604662875099834,21.45608335217357,1989.5759502013093,0.8981827069955896
station_3T,DecisionTree,75.8615033180357,35.780852232582646,0.45859154915313294,66.6700867648145,28.943848469961576,4444.900469227893,0.772530556873174
station_5T,RandomForest,54.31870245818234,28.182511329156917,0.7888926259722184,32.01327201354095,17.117886757151783,1024.8495850129643,0.9475529393727566
station_5T,XGBoost,60.04143202899761,30.079869680872815,0.735204344721829,44.604662875099834,21.45608335217357,1989.5759502013093,0.8981827069955896
station_5T,DecisionTree,75.8615033180357,35.780852232582646,0.45859154915313294,66.6700867648145,28.943848469961576,4444.900469227893,0.772530556873174
station_61T,RandomForest,39.04709049928579,20.43151449610716,0.7831300343224276,26.35580663324818,14.401429462341396,694.6285432891686,0.9665685577739259
station_61T,XGBoost,42.80993225784876,21.973434604304764,0.7492954671372034,61.706656249176966,21.903033296393218,3807.7114254540907,0.8167404927951
station_61T,DecisionTree,49.52807440996088,24.794067382826164,0.5931512961653124,45.44664292308909,21.156910043168093,2065.3973529787636,0.9005954866855346
