Station,Model,Feature,Importance
station_3T,XGBoost,temp,0.02549237571656704
station_3T,XGBoost,population_density,0.0
station_3T,XGBoost,factory_area,0.0
station_3T,XGBoost,season_Cool Season,0.05174684897065163
station_3T,XGBoost,season_Hot Season,0.01756272278726101
station_3T,XGBoost,season_Rainy Season,0.057233233004808426
station_3T,XGBoost,pm10_log,0.42555177211761475
station_3T,XGBoost,so2_log,0.04186804220080376
station_3T,XGBoost,o3_log,0.07206036150455475
station_3T,XGBoost,co_log,0.21174219250679016
station_3T,XGBoost,no2_log,0.09674247354269028
station_3T,DecisionTree,temp,0.0058664831694091
station_3T,DecisionTree,population_density,0.0
station_3T,DecisionTree,factory_area,0.0
station_3T,DecisionTree,season_Cool Season,0.0013576684254330196
station_3T,DecisionTree,season_Hot Season,2.5159728182344827e-05
station_3T,DecisionTree,season_Rainy Season,0.0002705333031710315
station_3T,DecisionTree,pm10_log,0.9161831262510667
station_3T,DecisionTree,so2_log,0.010349968022156982
station_3T,DecisionTree,o3_log,0.021542981112121475
station_3T,DecisionTree,co_log,0.032892132482367435
station_3T,DecisionTree,no2_log,0.01151194750609202
station_5T,RandomForest,temp,0.012350360487517385
station_5T,RandomForest,population_density,0.0
station_5T,RandomForest,factory_area,0.0
station_5T,RandomForest,season_Cool Season,0.0013024147934236176
station_5T,RandomForest,season_Hot Season,1.9506019750098315e-05
station_5T,RandomForest,season_Rainy Season,0.0013212541431437844
station_5T,RandomForest,pm10_log,0.9178597631415432
station_5T,RandomForest,so2_log,0.014575158651662146
station_5T,RandomForest,o3_log,0.0189609543074723
station_5T,RandomForest,co_log,0.023611911593053585
station_5T,RandomForest,no2_log,0.009998676862434096
station_5T,XGBoost,temp,0.02549237571656704
station_5T,XGBoost,population_density,0.0
station_5T,XGBoost,factory_area,0.0
station_5T,XGBoost,season_Cool Season,0.05174684897065163
station_5T,XGBoost,season_Hot Season,0.01756272278726101
station_5T,XGBoost,season_Rainy Season,0.057233233004808426
station_5T,XGBoost,pm10_log,0.42555177211761475
station_5T,XGBoost,so2_log,0.04186804220080376
station_5T,XGBoost,o3_log,0.07206036150455475
station_5T,XGBoost,co_log,0.21174219250679016
station_5T,XGBoost,no2_log,0.09674247354269028
station_5T,DecisionTree,temp,0.0058664831694091
station_5T,DecisionTree,population_density,0.0
station_5T,DecisionTree,factory_area,0.0
station_5T,DecisionTree,season_Cool Season,0.0013576684254330196
station_5T,DecisionTree,season_Hot Season,2.5159728182344827e-05
station_5T,DecisionTree,season_Rainy Season,0.0002705333031710315
station_5T,DecisionTree,pm10_log,0.9161831262510667
station_5T,DecisionTree,so2_log,0.010349968022156982
station_5T,DecisionTree,o3_log,0.021542981112121475
station_5T,DecisionTree,co_log,0.032892132482367435
station_5T,DecisionTree,no2_log,0.01151194750609202
station_61T,RandomForest,temp,0.02351629396408842
station_61T,RandomForest,population_density,0.0
station_61T,RandomForest,factory_area,0.0
station_61T,RandomForest,season_Cool Season,0.0011084245502895058
station_61T,RandomForest,season_Hot Season,1.113078478604125e-05
station_61T,RandomForest,season_Rainy Season,0.001966757715882282
station_61T,RandomForest,pm10_log,0.9032332192716119
station_61T,RandomForest,so2_log,0.025340717018983175
station_61T,RandomForest,o3_log,0.020790596359526875
station_61T,RandomForest,co_log,0.010807236178495746
station_61T,RandomForest,no2_log,0.013225624156335958
station_61T,XGBoost,temp,0.022937793284654617
station_61T,XGBoost,population_density,0.0
station_61T,XGBoost,factory_area,0.0
station_61T,XGBoost,season_Cool Season,0.05933069437742233
station_61T,XGBoost,season_Hot Season,0.010988953523337841
station_61T,XGBoost,season_Rainy Season,0.08667080104351044
station_61T,XGBoost,pm10_log,0.36044514179229736
station_61T,XGBoost,so2_log,0.06825366616249084
station_61T,XGBoost,o3_log,0.0582786425948143
station_61T,XGBoost,co_log,0.2640101909637451
station_61T,XGBoost,no2_log,0.06908415257930756
station_61T,DecisionTree,temp,0.024799741372977687
station_61T,DecisionTree,population_density,0.0
station_61T,DecisionTree,factory_area,0.0
station_61T,DecisionTree,season_Cool Season,0.0020523642570919984
station_61T,DecisionTree,season_Hot Season,0.0002340535658716234
station_61T,DecisionTree,season_Rainy Season,0.0006235326671728611
station_61T,DecisionTree,pm10_log,0.8947987740723817
station_61T,DecisionTree,so2_log,0.03571800499148333
station_61T,DecisionTree,o3_log,0.01612587913941465
station_61T,DecisionTree,co_log,0.015820156458906907
station_61T,DecisionTree,no2_log,0.009827493474699325
